2022-11-20 21:33:04.013 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 665 ms
2022-11-20 21:33:04.355 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-11-20 21:33:04.365 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/springbootMybatis'
2022-11-20 21:33:04.371 [main] INFO  com.lzp.SpringbootMyBatisApplication - Started SpringbootMyBatisApplication in 1.286 seconds (JVM running for 1.945)
2022-11-20 21:33:16.363 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/springbootMybatis] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-20 21:33:16.363 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-11-20 21:33:16.364 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-11-20 21:33:16.380 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-11-20 21:33:16.445 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-11-20 21:33:16.464 [http-nio-8080-exec-1] DEBUG com.lzp.mapper.UserMapper.selectAll - ==>  Preparing: select * from user
2022-11-20 21:33:16.476 [http-nio-8080-exec-1] DEBUG com.lzp.mapper.UserMapper.selectAll - ==> Parameters: 
2022-11-20 21:33:16.488 [http-nio-8080-exec-1] DEBUG com.lzp.mapper.UserMapper.selectAll - <==      Total: 2
2022-11-20 21:33:59.729 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-11-20 21:33:59.736 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
